ticker,date,type,quantity,price,commission
TOS0428,2025-04-30,buy,150.0,100.0,0.0
TOS0528,2025-05-06,buy,60.0,100.0,0.0
TOS0528,2025-05-10,buy,100.0,100.0,0.0
TOS0628,2025-06-27,buy,20.0,100.0,0.0
TOS0728,2025-07-30,buy,60.0,100.0,0.0
TOS0928,2025-09-02,buy,80.0,100.0,0.0
EDO1135,2025-11-26,buy,20.0,100.0,0.0
